都道府県,店名,電話番号
東京,スターバックス 四谷アトレ店,+81 3-5368-1751
東京,スターバックス 四谷3丁目店,+81 3-3356-3991
東京,スターバックス 都立明治公園店,+81 3-6434-7415
東京,スターバックス 新宿御苑店,+81 3-6384-2185
東京,スターバックス アトレ信濃町店,+81 3-5315-0705
東京,スターバックス 西武新宿PePe店,+81 3-5155-3826
