都道府県,店名,電話番号
東京,紀伊國屋書店 新宿本店,+81 3-3354-0131
東京,ブックファースト 新宿店 コクーンタワー店,+81 3-5339-7611
東京,Books Kinokuniya Tokyo 洋書専門店,+81 3-5361-3316
東京,新栄堂書店 新宿パークタワー店,+81 3-6302-3321
東京,メロンブックス新宿店,+81 3-5990-5501
東京,BOOK COMPASS NEWoMan新宿,+81 3-6380-6802
東京,BOOKOFF 新宿駅西口店,+81 3-5909-4721
